"MCL1","MYCN","GLI2","EGFR","CDK6","MET","FGFR1","MYC","CDKN2A.B","PTCH1","PTEN","CCND1","KRAS","CDK4","MDM2","RB1","TP53","NF1","ERBB2","CCNE1","Sample_Name"
0.23,-0.015,0.092,-0.03,-0.241,0.448,0.026,-0.003,-2.473,-0.01,-0.448,-0.206,-0.277,-0.059,0.056,-0.235,-0.061,-0.027,-0.039,0.095,"TCGA-28-5216"
0.099,-0.123,0.011,1.648,0.419,0.635,0.008,-0.106,-2.944,0.238,-0.641,-0.038,-0.216,0.126,0.007,0.006,-0.107,0.112,-0.004,0.228,"TCGA-12-5299"
0.102,-0.062,-0.002,0.281,0.273,0.492,0.022,-0.032,-1.815,-0.173,-0.508,-0.074,-0.185,-0.039,0.079,-0.019,0.069,0.016,-0.025,0.069,"TCGA-06-5418"
0.141,-0.016,0.003,0.123,0.12,0.221,-0.041,-0.069,-0.649,-0.032,-0.029,-0.003,-0.109,0.119,0.14,0.054,0.062,-0.13,-0.005,0.21,"TCGA-76-4928"
0.069,-0.008,0.022,0.24,0.182,0.33,-0.028,-0.019,-3.246,-0.104,-0.41,0.006,-0.144,0.01,0.056,-0.022,-0.529,-0.059,-0.003,-0.32,"TCGA-76-4925"
0.053,-0.087,0.015,1.173,0.118,0.292,0.042,-0.068,-1.688,-0.143,-0.464,-0.067,-0.285,-0.057,-0.026,-0.486,0.019,0.025,-0.036,0.113,"TCGA-12-5295"
0.105,-0.071,-0.43,0.241,0.141,0.323,0.015,-0.52,-2.527,-0.095,-0.554,-0.07,-0.197,-0.014,0.022,-0.055,0.033,-0.034,-0.041,0.086,"TCGA-12-5301"
0.044,0,0.018,0.044,0.227,0.068,0.044,-0.043,-2.33,-0.601,-0.513,-0.034,-0.248,-0.028,0.019,-0.074,0.034,0.059,-0.018,0.084,"TCGA-28-5220"
0.103,0.063,0.021,0.059,-0.099,-0.006,0.016,-0.063,-2.539,-0.118,-0.349,0.004,-0.168,0.012,0.089,0.015,0.025,-0.021,0.035,0.068,"TCGA-26-5134"
0.048,-0.008,0.007,1.476,0.198,0.253,0.002,-0.062,-1.697,-0.021,-0.358,-0.074,0.068,0.143,0.17,0.033,0.013,-0.062,-0.008,0.356,"TCGA-06-5415"
0.119,-0.161,-0.049,-0.04,-0.1,0.127,0.115,0.189,-0.544,-0.02,-1.352,-0.084,-0.297,-0.019,0.066,-0.36,-0.307,0.049,0.076,-0.091,"TCGA-28-5215"
0.14,0.059,0.037,0.221,0.191,0.232,0.024,-0.077,-0.053,-0.024,-0.324,-0.033,-0.158,1.063,1.916,0.034,0.022,-0.031,0.059,0.007,"TCGA-26-5135"
0.105,0.031,0.028,1.151,0.224,0.353,-0.014,-0.025,-1.775,-0.174,-1.37,-0.003,-0.148,0.019,0.12,-0.005,0.035,-0.104,-0.086,0.142,"TCGA-76-4926"
0.294,0.076,0.022,1.461,0.169,0.329,-0.008,-0.011,-2.33,-0.095,-0.329,-0.089,-0.125,0.014,0.212,0.041,0.041,-0.081,0.016,0.172,"TCGA-76-4932"
0.152,0.052,0.009,0.229,0.154,0.236,-0.057,-0.051,0.004,0.015,-0.313,-0.007,-0.649,-0.239,-0.169,-0.135,0.058,-0.04,-0.018,-0.117,"TCGA-26-5136"
0.055,0.073,0.008,1.435,0.121,0.28,-0.027,-0.095,-0.221,-0.024,-0.371,-0.224,-0.219,1.22,1.994,-0.015,0.02,-0.042,-0.249,0.433,"TCGA-28-5214"
0.077,-0.048,0.017,1.38,0.157,0.387,0.025,-0.018,-1.366,-0.032,-0.416,-0.04,-0.178,0.008,0.029,-0.221,0.09,-0.008,-0.052,0.328,"TCGA-06-5414"
0.169,0.029,0.03,0.149,0.06,0.243,0.01,-0.017,-2.193,-0.065,-0.319,-0.068,-0.257,-0.013,0.085,-0.495,0.078,-0.013,0.067,-0.261,"TCGA-76-4929"
0.122,-0.516,0.024,1.115,0.143,0.361,-0.029,-0.077,-0.139,-0.135,-0.345,-0.025,-0.727,-0.321,1.902,-0.421,0.004,-0.092,-0.035,0.034,"TCGA-26-5132"
0.092,0.066,0.02,1.461,0.344,0.507,0.006,0.572,-1.147,-0.031,-0.194,0.002,-0.183,-0.018,0.059,0.044,-0.226,-0.078,-0.042,0.376,"TCGA-76-4927"
0.335,0.023,0.027,-0.004,-0.132,0.436,0.016,-0.026,-0.636,-0.115,-0.087,-0.104,-0.372,0.138,-0.003,-0.564,0.066,0.037,0.177,0.137,"TCGA-06-5417"
0.366,0.054,0.063,0.397,0.348,0.592,0.365,0.363,-0.797,-0.283,-0.111,-0.101,-0.021,0.165,0.22,-0.107,0.154,0.163,0.067,0.22,"TCGA-28-5218"
0.072,-0.085,0.001,1.196,0.259,0.339,0.036,-0.084,-3.179,-0.079,-0.537,-0.081,-0.177,0.587,0.014,-0.026,0.019,0.001,-0.04,0.382,"TCGA-28-5209"
0.122,0.028,-0.003,1.207,0.324,0.646,-0.388,0.09,-2.492,-0.526,-0.52,-0.016,-0.782,0.023,0.015,-0.036,0.017,-0.069,-0.028,0.159,"TCGA-28-5204"
0.102,0.823,0.09,0.072,-0.081,0.144,0.06,0.535,-0.053,-0.103,-0.438,-0.041,-0.123,0.045,0.208,-0.375,-0.61,-0.766,0.167,0.093,"TCGA-26-5133"
0.005,-0.04,-0.034,-0.063,-0.06,-0.011,0.015,0.031,-0.117,-0.129,-0.012,-0.075,-0.082,0.017,0.044,-0.07,0.08,0.042,0.091,0.131,"TCGA-DB-5280"
0.053,0.071,-0.035,-0.099,-0.036,0.054,0.018,0.087,-0.36,-0.228,-0.158,-0.033,-0.282,-0.123,-0.056,-0.028,0.085,0.042,0.125,-0.348,"TCGA-DB-5279"
0.014,-0.022,-0.073,-0.032,-0.044,0.013,0.075,0.051,-0.095,-0.018,0.001,0.133,-0.119,-0.025,0.058,-0.069,0.103,0.045,0.145,-0.359,"TCGA-CS-5396"
0.161,0.137,-0.032,1.108,0.086,0.218,0.018,0.017,-0.08,-0.063,-0.155,-0.037,-0.134,0.762,1.515,-0.055,0.094,-0.015,-0.087,-0.044,"TCGA-CS-4941"
-0.039,-0.064,-0.055,-0.126,-0.039,0.074,0.045,0.058,-0.043,-0.066,0.019,-0.081,-0.071,-0.062,0.048,-0.115,0.074,0.043,0.091,-0.341,"TCGA-CS-5390"
0.14,0.001,-0.037,-0.113,0.179,0.259,0.066,0.054,-0.124,-0.051,0.001,0,-0.079,-0.033,0.039,-0.163,0.063,-0.01,0.079,0.035,"TCGA-E1-5302"
0.039,0.008,-0.025,-0.082,-0.115,-0.026,0.126,0.29,-0.12,-0.132,-0.003,-0.047,-0.133,-0.01,0.048,-0.187,0.082,-0.023,0.082,0.027,"TCGA-E1-5303"
0.042,0.037,-0.1,0.085,-0.071,0.07,-0.019,0.063,-0.139,-0.075,-0.029,0,-0.124,-0.018,0.084,-0.437,0.093,0.079,0.091,0.295,"TCGA-DH-5142"
0,0.03,0.005,0.165,0.178,0.298,0.039,0.099,-1.546,-0.064,-0.348,-0.07,-0.071,-0.035,0.042,-0.027,0.036,0.062,0.001,0.208,"TCGA-CS-5395"
-0.019,-0.058,-0.029,0.321,-0.124,-0.012,0.054,0.265,-0.318,-0.12,-0.024,-0.107,-0.063,-0.013,0.071,-0.087,0.035,-0.046,0.044,0.043,"TCGA-CS-5393"
-0.052,0.041,-0.045,-0.128,-0.045,-0.044,0.111,0.076,-0.137,-0.131,0.007,-0.038,-0.083,0.001,0.129,-0.087,0.075,0.065,0.062,0.251,"TCGA-CS-5394"
0.028,0.031,-0.066,-0.128,-0.015,0.003,0.083,0.031,-0.146,-0.149,0.01,-0.078,-0.102,-0.053,0.074,-0.214,0.124,0.06,0.145,-0.283,"TCGA-E1-5322"
0.016,-0.306,-0.017,-0.022,-0.029,0,0.024,0.391,-0.52,-0.108,-0.312,-0.365,0.123,-0.133,-0.227,-0.478,0.181,-0.06,0.035,0.066,"TCGA-DB-5277"
0.034,-0.023,-0.017,-0.066,-0.052,-0.018,-0.005,0.216,-1.918,-0.129,-0.023,-0.07,0.472,-0.002,0.118,-0.231,0.053,0.046,0.1,0,"TCGA-CS-4943"
-0.034,-0.026,-0.052,0.007,0.089,0.099,0.054,0.056,0.004,-0.08,0.027,-0.113,-0.135,-0.028,0.094,-0.04,0.053,0.092,0.124,0.041,"TCGA-DB-5270"
-0.032,0.026,-0.013,0.144,0.139,0.162,0.054,0.034,-0.07,-0.104,-0.012,-0.061,-0.127,-0.034,0.007,-0.014,0.114,-0.1,0.08,-0.004,"TCGA-CS-4942"
0.021,0.096,0.059,-0.002,-0.007,0.06,-0.018,0.072,-1.117,-0.225,-0.079,0.043,0.008,-0.149,-0.068,-0.162,0.128,0.141,0.099,0.136,"TCGA-E1-5304"
-0.013,0.018,0,-0.106,-0.083,-0.069,0.067,0.045,-0.058,-0.132,-0.005,-0.02,-0.073,0.035,0.077,-0.043,0.078,0.039,0.015,-0.266,"TCGA-DB-5278"
-0.104,0.019,-0.007,-0.109,-0.077,-0.058,0.007,0.049,-0.112,-0.133,-0.003,-0.064,-0.058,-0.005,0.084,-0.006,0.055,0.009,0.081,0.035,"TCGA-DB-5276"
-0.087,-0.034,-0.032,-0.085,-0.075,-0.066,0.029,0.14,-0.559,-0.156,-0.025,-0.038,-0.157,-0.015,0.065,-0.121,0.089,0.049,0.138,0.087,"TCGA-DB-5281"
0.021,-0.001,-0.022,-0.079,-0.113,-0.029,0.062,0.089,-0.123,-0.085,-0.025,-0.077,-0.115,-0.077,0.059,-0.07,0.062,-0.016,0.082,0.021,"TCGA-DH-5143"
-0.036,0.026,-0.092,-0.139,-0.112,-0.087,0.066,0.087,-0.1,-0.127,-0.031,0.015,-0.167,0.013,0.081,-0.11,0.058,0.07,0.155,-0.439,"TCGA-DH-5144"
0.026,0.016,-0.038,0.011,-0.053,-0.082,0.051,0.042,-0.092,-0.073,0.055,-0.059,-0.039,-0.001,0.091,-0.046,0.046,-0.084,0.109,-0.034,"TCGA-CS-4944"
0.011,0.07,0.051,-0.135,-0.106,-0.04,0.071,0.012,0.01,-0.089,-0.058,-0.071,-0.095,-0.011,0.103,-0.129,0.079,0.135,0.11,-0.376,"TCGA-DB-5274"
0.003,0.014,-0.05,-0.131,-0.038,0,0.055,0.064,-0.016,-0.097,-0.102,-0.023,-0.097,0,0.042,-0.075,0.069,-0.006,0.019,-0.37,"TCGA-E1-5311"
-0.021,0.018,-0.041,-0.106,-0.106,-0.057,0.077,0.055,-0.099,-0.183,0.019,0.172,-0.163,0.196,0.093,-0.072,0.076,0.046,0.131,-0.337,"TCGA-E1-5318"
-0.018,0.072,0.026,-0.062,-0.081,-0.024,-0.014,-0.075,-0.458,-0.013,-0.287,-0.137,-0.083,-0.008,0.11,-0.103,0.112,0.084,0.114,-0.02,"TCGA-DH-5140"
-0.043,0.037,-0.051,-0.054,-0.09,-0.054,0.033,0.059,-0.116,-0.11,-0.019,-0.039,0.16,-0.052,0.074,-0.099,0.089,0.001,0.062,0.036,"TCGA-DB-5273"
0.044,-0.012,-0.046,-0.08,-0.089,0.034,0.062,0.033,-0.521,-0.142,-0.011,-0.088,0.088,-0.116,-0.065,-0.505,0.073,0.055,0.118,0.018,"TCGA-DB-5275"
0.05,0.077,-0.027,-0.168,-0.11,-0.036,0.076,0.035,-0.155,-0.142,-0.032,-0.048,-0.125,-0.001,0.046,-0.106,0.077,0.017,0.053,-0.256,"TCGA-DH-5141"
0.096,0.113,-0.052,0.173,0.145,0.23,-0.027,0.096,0.089,-0.066,-0.051,-0.064,0.017,-0.088,0.084,-0.111,0.108,-0.113,0.014,0.046,"TCGA-FG-6691"
0.202,-0.063,-0.073,-0.007,0.059,0.376,-0.026,-0.023,-0.059,-0.017,-0.021,-0.114,0.088,0.063,0.089,-0.029,0.047,-0.064,0.018,0.195,"TCGA-FG-6690"
0.176,-0.064,-0.059,0.009,0.024,0.209,-0.01,-0.048,-0.136,-0.045,-0.021,-0.093,0.016,-0.028,-0.051,0.001,0.077,0.071,-0.009,0.088,"TCGA-DU-6542"
